id,desc,domain,uc,tiers,gap
Art.9(1),Establish risk management system,D1,UC-01,T1;T2;T3,
Art.9(2a),Identify and analyse foreseeable risks,D1,UC-01,T1;T2;T3,
Art.9(2b),Estimate and evaluate risks from intended use and misuse,D1,UC-01,T1;T2;T3,
Art.9(2c),Evaluate risks from data analysis,D1,UC-01,T1;T2;T3,
Art.9(2d),Adopt risk management measures,D1,UC-02,T1;T2;T3,
Art.9(3),Testing for risk management measures,D1,UC-02,T1;T2;T3,
Art.9(4),Appropriate risk management measures shall be taken,D1,UC-02,T1;T2;T3,
Art.9(5),Test risk management measures effectiveness,D1,UC-02,T1;T2;T3,
Art.9(6),Risk management throughout lifecycle,D1,UC-01,T1;T2;T3,
Art.9(8),Risk management integration with product safety,D1,UC-01,T1;T2;T3,
Art.9(9),Risk management measures proportionality,D1,UC-02,T1;T2;T3,
Art.8(1),Compliance with high-risk requirements,D1,UC-01,T1;T2;T3,
Art.8(2),Intended purpose consideration in requirements,D1,UC-01,T1;T2;T3,
Art.10(1),Data governance practices for training data,D2,UC-03,T2;T3,
Art.10(2),Design choices for datasets,D2,UC-03,T2;T3,
Art.10(2f),Examination for possible biases,D2,UC-04,T2;T3,
Art.10(2g),Identify data gaps and shortcomings,D2,UC-04,T2;T3,
Art.14(1),Design for effective human oversight,D3,UC-05,T1;T2,
Art.14(2),Understand capabilities and limitations,D3,UC-05,T1;T2,
Art.14(3),Monitor operation and detect anomalies,D3,UC-05,T1;T2,
Art.14(4),Override or interrupt operation,D3,UC-06,T1;T2,
Art.13(1),Design for sufficient transparency,D4,UC-08,T1;T2;T3,
Art.13(2),Instructions for use content requirements,D4,UC-08,T1;T2;T3,
Art.15(1),Appropriate levels of accuracy,D5,UC-09,T1;T2;T3,
Art.15(2),Accuracy metrics declaration,D5,UC-09,T1;T2;T3,
Art.15(4),Robustness against adversarial manipulation,D5,UC-10,T1;T2;T3,
Art.15(5),Cybersecurity measures,D5,UC-10,T1;T2;T3,
Art.11(1),Draw up technical documentation before placement,D6,UC-07,T1;T2;T3,
Art.11(2),Keep technical documentation up to date,D6,UC-07,T1;T2;T3,
Annex_IV,Technical documentation content requirements,D6,UC-07,T1;T2;T3,
Art.GAP.CA,Conformity assessment procedure,D6,,T1;T2;T3,regulatory_workflow
Art.GAP.REG,EU database registration,D6,,T1;T2;T3,regulatory_workflow
Art.25,Responsibilities along the AI value chain,D7,UC-11,T3,
Art.GAP.CE,CE marking and declaration of conformity,D7,,T1;T2;T3,regulatory_workflow
Art.9(7),Post-deployment monitoring for incidents,D8,UC-12,T1;T2;T3,
Art.72,Report serious incidents to authorities,D8,UC-12,T1;T2;T3,
Art.14(5),Decide not to use or disregard output,D8,UC-12,T1;T2;T3,
